song_name,moods,file_path
Uppenantha,"sadness",static/songs/2-Uppenantha-SenSongsMp3.Co.mp3
Bloody Sweet,"joy",static/songs/Bloody Sweet.mp3
Samayama,"joy, love",static/songs/Samayama.mp3.crdownload
Karige Loga,"sadness, love",static/songs/5-Karige Loga-SenSongsMp3.Co.mp3
Fear,"joy",static/songs/Fear.mp3
Hukum,"joy",static/songs/Hukum.mp3
Jo Tum Mere Ho,"sadness, love, fear",static/songs/Jo Tum Mere Ho - Anuv Jain 128 Kbps.mp3
Ye Tune Kya Kiya,"sadness, love",static/songs/Ye Tune Kya Kiya - Once Upon A Time In Mumbaai Dobara 128 Kbps.mp3
Husn,love,static/songs/Husn - Anuv Jain 128 Kbps.mp3
Soch Na Sake,"sadness, love",static/songs/Soch Na Sake - Airlift 128 Kbps.mp3
Chenna Mereya,"sadness, love",static/songs/Channa Mereya - Ae Dil Hai Mushkil 128 Kbps.mp3
Bloody Mary,"motivation, anger",static/songs/Bloody Mary.mp3
Kaise Hua,"love, sadness",static/songs/Kaise Hua - Kabir Singh 128 Kbps.mp3
Maya,sadness,static/songs/Maya - SenSongsMp3.Co.mp3
Rahnnjana,"joy, surprise",static/songs/Raanjhanaa - Raanjhanaa 128 Kbps.mp3
